0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
0,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
0,0,2,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
0,1,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
0,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
0,2,1,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
0,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
1,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
1,0,2,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
1,1,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
1,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
1,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
1,2,1,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
1,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
2,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
2,0,2,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
2,1,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
2,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
2,2,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
2,2,1,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0
1,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,1,1
0,2,0,3,-1,-1,-1,-1,-1,-1,-1,-1,1,1
2,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,1,1
1,2,0,3,-1,-1,-1,-1,-1,-1,-1,-1,2,2
2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,2,2
0,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,2,2
0,0,0,0,4,-1,-1,-1,-1,-1,-1,-1,0,0
0,0,0,1,4,-1,-1,-1,-1,-1,-1,-1,0,0
0,0,0,2,4,-1,-1,-1,-1,-1,-1,-1,0,0
0,0,1,0,4,-1,-1,-1,-1,-1,-1,-1,0,0
0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,0,0
0,0,2,1,4,-1,-1,-1,-1,-1,-1,-1,0,0
0,0,2,2,4,-1,-1,-1,-1,-1,-1,-1,0,0
0,1,1,0,4,-1,-1,-1,-1,-1,-1,-1,0,0
0,1,1,1,4,-1,-1,-1,-1,-1,-1,-1,0,0
0,2,2,1,4,-1,-1,-1,-1,-1,-1,-1,0,0
0,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,0,0
1,0,0,0,4,-1,-1,-1,-1,-1,-1,-1,0,0
1,0,0,2,4,-1,-1,-1,-1,-1,-1,-1,0,0
1,1,0,0,4,-1,-1,-1,-1,-1,-1,-1,0,0
1,1,0,2,4,-1,-1,-1,-1,-1,-1,-1,0,0
1,1,1,0,4,-1,-1,-1,-1,-1,-1,-1,0,0
1,1,1,1,4,-1,-1,-1,-1,-1,-1,-1,0,0
1,1,1,2,4,-1,-1,-1,-1,-1,-1,-1,0,0
1,1,2,1,4,-1,-1,-1,-1,-1,-1,-1,0,0
1,1,2,2,4,-1,-1,-1,-1,-1,-1,-1,0,0
1,2,2,1,4,-1,-1,-1,-1,-1,-1,-1,0,0
1,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,0,0
2,0,0,0,4,-1,-1,-1,-1,-1,-1,-1,0,0
2,0,0,2,4,-1,-1,-1,-1,-1,-1,-1,0,0
2,1,1,0,4,-1,-1,-1,-1,-1,-1,-1,0,0
2,1,1,1,4,-1,-1,-1,-1,-1,-1,-1,0,0
2,2,0,0,4,-1,-1,-1,-1,-1,-1,-1,0,0
2,2,0,2,4,-1,-1,-1,-1,-1,-1,-1,0,0
2,2,1,0,4,-1,-1,-1,-1,-1,-1,-1,0,0
2,2,1,1,4,-1,-1,-1,-1,-1,-1,-1,0,0
2,2,2,0,4,-1,-1,-1,-1,-1,-1,-1,0,0
2,2,2,1,4,-1,-1,-1,-1,-1,-1,-1,0,0
2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,0,0
2,1,0,0,4,-1,-1,-1,-1,-1,-1,-1,1,1
0,2,1,1,4,-1,-1,-1,-1,-1,-1,-1,1,1
1,0,2,2,4,-1,-1,-1,-1,-1,-1,-1,1,1
0,0,2,0,4,-1,-1,-1,-1,-1,-1,-1,1,1
1,1,0,1,4,-1,-1,-1,-1,-1,-1,-1,1,1
2,2,1,2,4,-1,-1,-1,-1,-1,-1,-1,1,1
2,1,2,0,4,-1,-1,-1,-1,-1,-1,-1,2,2
1,0,1,2,4,-1,-1,-1,-1,-1,-1,-1,2,2
0,2,0,1,4,-1,-1,-1,-1,-1,-1,-1,2,2
0,2,0,0,4,-1,-1,-1,-1,-1,-1,-1,3,3
0,2,0,2,4,-1,-1,-1,-1,-1,-1,-1,3,3
2,1,2,2,4,-1,-1,-1,-1,-1,-1,-1,3,3
1,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,3,3
1,0,1,0,4,-1,-1,-1,-1,-1,-1,-1,3,3
2,1,2,1,4,-1,-1,-1,-1,-1,-1,-1,3,3
0,2,2,0,4,-1,-1,-1,-1,-1,-1,-1,3,4
0,1,2,2,4,-1,-1,-1,-1,-1,-1,-1,3,4
2,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,3,4
1,2,0,2,4,-1,-1,-1,-1,-1,-1,-1,3,4
0,1,2,1,4,-1,-1,-1,-1,-1,-1,-1,3,4
2,0,1,0,4,-1,-1,-1,-1,-1,-1,-1,3,4
2,1,1,2,4,-1,-1,-1,-1,-1,-1,-1,3,4
1,0,0,1,4,-1,-1,-1,-1,-1,-1,-1,3,4
1,2,0,0,4,-1,-1,-1,-1,-1,-1,-1,3,4
1,2,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,5
1,0,2,1,4,-1,-1,-1,-1,-1,-1,-1,4,5
0,2,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,5
0,1,1,2,4,-1,-1,-1,-1,-1,-1,-1,4,5
2,1,0,2,4,-1,-1,-1,-1,-1,-1,-1,4,5
2,0,0,1,4,-1,-1,-1,-1,-1,-1,-1,4,5
1,1,2,0,4,-1,-1,-1,-1,-1,-1,-1,5,6
2,2,0,1,4,-1,-1,-1,-1,-1,-1,-1,5,6
0,0,1,2,4,-1,-1,-1,-1,-1,-1,-1,5,6
2,1,0,1,4,-1,-1,-1,-1,-1,-1,-1,6,7
0,2,1,2,4,-1,-1,-1,-1,-1,-1,-1,6,7
1,0,2,0,4,-1,-1,-1,-1,-1,-1,-1,6,7
2,0,2,0,4,-1,-1,-1,-1,-1,-1,-1,6,8
1,2,1,2,4,-1,-1,-1,-1,-1,-1,-1,6,8
0,1,0,1,4,-1,-1,-1,-1,-1,-1,-1,6,8
0,1,0,0,4,-1,-1,-1,-1,-1,-1,-1,6,9
1,2,1,1,4,-1,-1,-1,-1,-1,-1,-1,6,9
2,0,2,1,4,-1,-1,-1,-1,-1,-1,-1,6,9
1,2,1,0,4,-1,-1,-1,-1,-1,-1,-1,6,9
0,1,0,2,4,-1,-1,-1,-1,-1,-1,-1,6,9
2,0,2,2,4,-1,-1,-1,-1,-1,-1,-1,6,9
1,2,0,1,4,-1,-1,-1,-1,-1,-1,-1,6,10
0,1,2,0,4,-1,-1,-1,-1,-1,-1,-1,6,10
2,0,1,2,4,-1,-1,-1,-1,-1,-1,-1,6,10
0,0,0,0,0,5,-1,-1,-1,-1,-1,-1,0,0
0,0,0,0,1,5,-1,-1,-1,-1,-1,-1,0,0
0,0,0,0,2,5,-1,-1,-1,-1,-1,-1,0,0
0,0,0,1,0,5,-1,-1,-1,-1,-1,-1,0,0
0,0,0,1,1,5,-1,-1,-1,-1,-1,-1,0,0
